date,country,category,type,query_id,keyword,score
2025-04-06,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,52
2025-04-13,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,51
2025-04-20,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,45
2025-04-27,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,71
2025-05-04,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,49
2025-05-11,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,56
2025-05-18,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,63
2025-05-25,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,47
2025-06-01,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,53
2025-06-08,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,34
2025-06-15,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,61
2025-06-22,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,56
2025-06-29,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,58
2025-07-06,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,44
2025-07-13,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,59
2025-07-20,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,42
2025-07-27,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,61
2025-08-03,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,57
2025-08-10,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,62
2025-08-17,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,76
2025-08-24,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,58
2025-08-31,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,58
2025-09-07,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,36
2025-09-14,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,35
2025-09-21,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,34
2025-09-28,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,55
2025-10-05,HK,moisturizer_hydration,baseline,moisturizer_baseline,moisturizer,56
