year,exporter,exporter_iso3,importer,importer_iso3,trade_value_usd
2018,France,FRA,Norway,NOR,22094397.85
2018,France,FRA,Pakistan,PAK,900628.43
2018,France,FRA,Panama,PAN,21676300.944
2018,France,FRA,Papua New Guinea,PNG,505.49
2018,France,FRA,Paraguay,PRY,2682277.476
2018,France,FRA,Peru,PER,5760835.478
2018,France,FRA,Philippines,PHL,2558183.229
2018,France,FRA,Poland,POL,161335662.058
2018,France,FRA,Portugal,PRT,71204768.026
2018,France,FRA,Qatar,QAT,26054232.755
2018,France,FRA,Romania,ROU,43627551.826
2018,France,FRA,Russian Federation,RUS,239258510.051
2018,France,FRA,Rwanda,RWA,93277.074
2018,France,FRA,Saint Barthélemy,BLM,1041990.83
2018,France,FRA,Anguilla,AIA,225.581
2018,France,FRA,Saint Pierre and Miquelon,SPM,186120.703
2018,France,FRA,San Marino,SMR,331465.607
2018,France,FRA,Saudi Arabia,SAU,54873050.456
2018,France,FRA,Senegal,SEN,6867407.377
2018,France,FRA,Serbia,SRB,7561560.865
2018,France,FRA,Seychelles,SYC,222195.917
2018,France,FRA,Sierra Leone,SLE,6935.134
2018,France,FRA,India,IND,12346169.996
2018,France,FRA,Singapore,SGP,1027353449.611
2018,France,FRA,Slovakia,SVK,7560471.936
2018,France,FRA,Viet Nam,VNM,35475793.613
2018,France,FRA,Slovenia,SVN,7093419.27
2018,France,FRA,Somalia,SOM,144121.335
2018,France,FRA,South Africa,ZAF,29238595.242
2018,France,FRA,Spain,ESP,521207086.428
2018,France,FRA,Sudan,SDN,66416.423
2018,France,FRA,Suriname,SUR,659.027
2018,France,FRA,Sweden,SWE,57271475.229
2018,France,FRA,Switzerland,CHE,201200505.9
2018,France,FRA,Syria,SYR,72156.333
2018,France,FRA,Tajikistan,TJK,73029.13
2018,France,FRA,Thailand,THA,25145600.34
2018,France,FRA,Togo,TGO,1796859.806
2018,France,FRA,Trinidad and Tobago,TTO,25863.844
2018,France,FRA,United Arab Emirates,ARE,218991969.881
2018,France,FRA,Tunisia,TUN,30119064.307
2018,France,FRA,Türkiye,TUR,111837214.94
2018,France,FRA,Turkmenistan,TKM,70762.692
2018,France,FRA,Turks and Caicos Isds,TCA,106.295
2018,France,FRA,Uganda,UGA,329853.472
2018,France,FRA,Ukraine,UKR,41350072.617
2018,France,FRA,North Macedonia,MKD,933655.351
